file,date,glider_type,recorder_type,gps_receiver,pressure_sensor,motor_sensor,extensions,b_record_count,valid_b_record_count,invalid_b_record_count,has_i_record,parse_error,FXA,ENL,MOP,RPM,TAS,GSP,VAT,NET,ACZ,AOR,AOP,OAT,extension_count
4536-9239003410.igc,,Ventus 3T,"LXNAV,LX9000F","uBLOX LEA-6DUAL,50,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,OAT,TAS,TRT,VAT",18054,18054,0,True,,True,True,False,False,True,True,True,False,True,True,True,True,10
4536-9239003411.igc,,JS3 RES,"LXNAV,NANO",,"INTERSEMA,MS5611,max16000m",,"ENL,FXA,GSP,TRT",17284,12319,4965,True,,True,True,False,False,False,True,False,False,False,False,False,False,4
4536-9239003412.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10194,ET=159,37,159,37,0.03V,p=64),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",18651,18651,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
4536-9239003413.igc,,JS-3-18m,"LXNAV,LX9070F","uBLOX LEA-6S,50,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10069,ET=747,80,747,80,3.26V,p=24),SW:201, HW:1","ACZ,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",17590,17590,0,True,,True,True,True,False,True,True,True,False,True,False,False,True,9
4536-9239003414.igc,"200824,1",JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10218,ET=33,18,33,18,0.04V,p=1),SW:100, HW:2","ACZ,AOA,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,SIU,TAS,TRT,VAT",18720,18720,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,14
4536-9239003415.igc,,AS 33Es 18m,"LXNAV,S10","UBLOX,NEO-9,92,max50000m","INTERSEMA,MS5611,max30000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",18603,18603,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,11
4536-9239003416.igc,,JS-3-18m_MM,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10283,ET=52,31,52,31,0.03V,p=1),SW:100, HW:2","ACZ,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",18091,18091,0,True,,True,True,True,False,True,True,True,False,True,False,False,True,9
4536-9239003417.igc,,JS-3-18m,"LXNAV,LX9070F","uBLOX LEA-6S,50,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10365,ET=146,20,146,20,3.31V,p=1),SW:200, HW:20","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",18104,18104,0,True,,True,True,True,False,True,True,True,False,True,True,True,True,11
4536-9239003418.igc,,AS33,"LXNAV,NANO",,"INTERSEMA,MS5611,max16000m",,"ENL,FXA,GSP,TRT",18253,18253,0,True,,True,True,False,False,False,True,False,False,False,False,False,False,4
4536-9239003419.igc,,ASG29,"ClearNav Instr., ClearNav II",,"Intersema,MS5540C,20000",,"ENL,FXA,GSP",25219,25219,0,True,,True,True,False,False,False,True,False,False,False,False,False,False,3
4536-9239003420.igc,,JS-3-18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10298,ET=2618,11,2618,11,0.07V,p=1),SW:100, HW:2","ACZ,EGT,ENL,FFL,FLE,FXA,GSP,MOP,OAT,RPM,TAS,TRT,VAT",17601,17599,2,True,,True,True,True,True,True,True,True,False,True,False,False,True,13
4536-9239003421.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ECURRENT,MOP-(SN:366,ET=87,33,87,33,3.30V,p=1),SW:200, HW:20","ACZ,AOP,AOR,CUR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",18382,18382,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,13
4536-9239003422.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10334,ET=58,32,58,32,3.30V,p=1),SW:200, HW:20","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",16524,16524,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
